Type,Street Address,City,State,Zip Code,Phone Number
Store,5125 W. Saginaw Hwy,Ionia,MI,48917,517-321-1302
Market,"600 E. Michigan Ave, Suite 100",Jackson,MI,48912,517-333-3000
MEXPRESS,4019 S. Martin Luther King Jr. Blvd.,Jackson,MI,48910,517-393-2100
Store,6200 S. Pennsylvania Avenue,Jenison,MI,48911,517-394-7720
Store,1555 DeMille Road,Kalamazoo,MI,48446,810-667-8100
Store,36865 26 Mile Rd.,Kalamazoo,MI,48048,586-716-5800
Store,8870 Columbus Pike,Kentwood,MI,43035,740-548-0000
Store,"351 Meijer Way, Suite 100",Kentwood,MI,40503,859-219-3700
Store,"2155 Paul Jones Way, Suite 100",Lake Orion,MI,40509,859-264-3000
Store,3298 Elida Road,Lansing,MI,45805,419-331-6400
Store,3710 Dix Highway,Lansing,MI,48146,313-294-1700
Store,13000 Middlebelt Rd.,Lansing,MI,48150,734-367-0000
Store,5350 Leavitt Rd,Lansing,MI,44053,440-538-0161
Store,4100 Towne Center Dr.,Lapeer,MI,40241,502-326-5200
Store,4500 S. Hurstbourne Pkwy,Lenox,MI,40299,502-493-4900
Store,9500 Preston Hwy,Lincoln Park,MI,40229,502-962-3700
Store,9905 Dixie Highway,Livonia,MI,40272,502-995-2100
Store,3911 W. State Route 22-3,Lowell,MI,45140,513-583-2100
Store,11901 Fulton St. E.,Ludington,MI,49331,616-897-4700
Store,3900 W. US Hwy 10,Macomb,MI,49431,231-845-3700
Store,1770 West Lane Rd,Madison Heights,MI,61115,815-721-8700
Grocery Only,17375 24 Mile Road,Manistee,MI,48042,586-697-7400
Store,1005 E. 13 Mile Rd.,Marquette,MI,48071,248-307-4900
Store,15 Caberfae Hwy,Marysville,MI,49660,231-887-5200
Store,1818 S Rapids Rd,Mason,MI,54220,920-663-3836
Store,1355 N. Lexington-Springmill Rd.,Midland,MI,44906,419-747-8300
Store,3820 S. Western Ave.,Monroe,MI,46953,765-677-6800
Store,2153 Marion-Mt. Gilead Road,Mt. Pleasant,MI,43302,740-389-6710
Store,3630 US-41 West,Muskegon,MI,49855,906-662-6300
Store,205 S. Range Rd.,Muskegon,MI,48040,810-388-9600
Store,930 Coleman's Crossing Blvd.,Muskegon,MI,43040,937-553-6100
Store,550 Hull Road,Northville,MI,48854,517-244-1900
Store,1391 Conant Street,Okemos,MI,43537,419-891-8700
Store,6939 W Broadway,Oxford,MI,46055,317-510-0300
Store,2253 N. Richmond Rd.,Petoskey,MI,60050,815-578-9700
Store,9200 Mentor Ave,Plainwell,MI,44060,440-266-4400
Store,"611 W. Lincoln Hwy, Ste. A",Portage,MI,46410,219-650-3700
Store,5150 Franklin St.,Portage,MI,46360,219-877-2400
Store,7300 Eastman Avenue,Rochester Hills,MI,48642,989-839-5900
Store,"1082 State Route 28, Ste. C",Rochester Hills,MI,45150,513-576-5500
Store,3610 South Bremen Highway,Rockford,MI,46544,574-254-2500
Store,5020 Grape Road,Roseville,MI,46545,574-273-3500
Store,11305 Lincoln Highway,Royal Oak,MI,60448,815-277-0500
Store,1700 N. Telegraph Road,Royal Oak,MI,48162,734-457-1900
Store,1015 Pickard Street,Saginaw,MI,48858,989-772-4700
Store,6260 W. McGalliard Road (SR332),Saginaw,MI,47304,765-281-7800
Store,700 W. Norton Avenue,Sault Sainte Marie,MI,49441,231-739-9381
Store,1800 Holton Road,Shelby Twp.,MI,49445,231-744-7441
Store,5300 Harvey St.,South Haven,MI,49444,231-799-6900
Store,4222 Charlestown Rd.,Southfield,MI,47150,812-542-3800
Store,17000 Mercantile Blvd.,Southgate,MI,46060,317-774-7800
Store,1900 E. College Ave.,Sterling Heights,MI,61761,309-888-0800
Store,20401 Haggerty Road,Stevensville,MI,48167,248-349-2700
Store,171 W. Town Square Way,Sturgis,MI,53154,414-501-1700
Store,2055 W. Grand River Ave.,Swartz Creek,MI,48864,517-349-6800
Store,1725 S. Wheeling Street,Taylor,MI,43616,419-697-2000
Store,15701 S. 71st Ct.,Three Rivers,MI,60462,708-342-9900
Store,2700 Route 34,Traverse City,MI,60543,630-636-5000
Store,2951 Heartland Crossing Blvd,Warren,MI,42303,270-359-7500
Store,900 N. Lapeer Rd.,Warren,MI,48371,248-236-8000
Store,1201 Lears Road,Washington,MI,49770,231-348-6100
Store,N51 W 24953 Lisbon,Waterford,MI,53072,262-932-2500
Store,13521 S. Route 59,West Branch,MI,60544,815-267-8000
Store,400 Dan Jones Rd.,Westland,MI,46168,317-204-1300
Store,1195 M-89,White Lake,MI,49080,269-685-3800
Store,6050 US Highway 6,Williamsburg,MI,46368,219-763-0401
Store,8850 Shaver Rd.,Wixom,MI,49024,269-321-4300
Store,5121 S. Westnedge Avenue,Woodhaven,MI,49002,269-381-3465
Store,8000 East Broad St.,Wyoming,MI,43068,614-322-7400
Store,2507 Chester Boulevard,Ypsilanti,MI,47374,765-939-4400
Store,2013 Lantern Ridge Dr.,St. Louis,MO,40475,859-575-5000
Store,3610 Marketplace Circle,Avon,OH,48309,248-844-2900
Store,3175 S. Rochester Road,Boardman,OH,48307,248-853-5570
Store,2013 McFarland Rd,Bowling Green,OH,61107,815-721-8600
Store,"2799 10 Mile Rd., N.E.",Brunswick,OH,49341,616-863-3400
Store,1301 Meijer Drive,Canal Winchester,OH,60008,847-690-1500
Store,30800 Little Mack Road,Canton,OH,48066,586-296-6900
Store,10055 Olde US 20,Cincinnati,OH,43460,419-873-4100
Store,750 E. Rollins Rd,Cincinnati,OH,60073,847-201-0800
Store,5150 Coolidge Hwy,Cincinnati,OH,48073,248-280-1800
Market,30955 Woodward Ave. Suite 305,Cincinnati,OH,48073,248-955-1041
Store,8400 Gratiot Road,Columbus,OH,48609,989-781-4644
Store,3360 Tittabawassee Road,Columbus,OH,48604,989-790-5101
Store,4702 Milan Road,Dayton,OH,44870,419-627-7900
Store,1138 W 3 Mile Rd,Defiance,OH,49783,906-253-2809
Store,7701 Broadview Rd,Delaware,OH,44131,216-238-9740
Store,924 North Taylor Drive,Dublin,OH,53081,920-547-2628
Store,15055 Hall Road,Englewood,OH,48315,586-566-0400
Store,3600 North Portage Road,Fairborn,OH,46628,574-273-3400
Store,1223 Phoenix St.,Fairfield,OH,49090,269-639-3500
Store,28800 Telegraph Rd.,Findlay,OH,48034,248-304-9500
Store,16300 Fort Street,Franklin,OH,48195,734-284-5300
Store,4200 Conestoga Drive,Grove City,OH,62711,217-547-2400
Store,1500 Hillcrest Avenue,Hamilton,OH,45504,937-323-0266
Store,855 S. Randall Rd.,Huber Heights,OH,60174,630-762-7200
Market,"3701 Foundry Way, Suite 201",Kent,OH,63110,314-597-440
Store,36600 VanDyke Avenue,Kettering,OH,48312,586-978-2650
Store,5019 Red Arrow Hwy,Lancaster,OH,49127,269-556-2400
Store,4303 Kent Road,Lewis Center,OH,44224,234-900-5728
Store,408 W South St,Lima,OH,49091,269-319-4000
Store,4141 Morrish Rd.,Lorain,OH,48473,810-635-1400
Store,541 Puri Parkway,Loveland,OH,60178,815-991-1203
Store,14640 Pardee Road,Mansfield,OH,48180,734-287-3300
Store,5600 New Margaret Ave,Marion,OH,47803,812-233-6300
Store,"800 S. US Highway 131, Ste. A",Marysville,OH,49093,269-279-1200
Store,1500 E. Alexis Road,Maumee,OH,43612,419-727-2000
Store,7240 W. Central Avenue,Mentor,OH,43617,419-843-8300
Store,3955 US 31 South,Milford,OH,49684,231-941-1543
Store,1900 W. Main Street,Oregon,OH,45373,937-339-9930
Store,2500 Philo Road,Reynoldsburg,OH,61802,217-365-5200
Store,405 Porters Vale Boulevard,Rossford,OH,46383,219-300-8000
Store,25225 Schoenherr Rd,Sandusky,OH,48089,586-210-9829
Store,29505 Mound Rd.,Seven Hills,OH,48092,586-573-2900
Store,1200 Lake City Hwy,Springfield,OH,46580,574-371-4100
Store,8401 26 Mile Road,Stow,OH,48094,586-677-8000
Store,4200 Highland Road,Toledo,OH,48328,248-682-7200
Store,801 E Sunset Drive,Toledo,OH,53189,262-899-6000
Store,11111 W Burleigh St,Troy,OH,53222,414-290-0900
Store,2180 S Main St,West Chester,OH,53095,262-334-8500
Store,3691 M-55,Westerville,OH,48661,989-787-3040
Store,7390 Tylersville Rd.,Appleton,WI,45069,513-755-4800
Store,2636 US52 (Sagamore Pky),Grafton,WI,47906,765-637-4200
Store,100 Polaris Parkway,Green Bay,WI,43082,614-865-2000
Store,225 W Spring Mill Pointe Dr,Greenfield,WI,46074,463-243-3040
Store,37201 Warren Road,Kenosha,WI,48185,734-728-1800
Store,6001 Highland Rd.,Manitowoc,WI,48383,248-889-6800
Store,4900 M 72 E,Oak Creek,WI,49690,231-534-9800
Store,49900 Grand River Avenue,Pewaukee,WI,48393,248-449-8500
Store,22600 Allen Road,Sheboygan,WI,48183,734-692-8100
Store,5500 Clyde Park Avenue SW,Waukesha,WI,49509,616-530-8079
Store,3825 Carpenter Road,Wauwatosa,WI,48197,734-973-1200
Store,6650 Whitestown Parkway,West Bend,WI,46077,317-732-9200
